WebsiteAccessID,CustomerID,AccessDate,PageViews,UniqueVisitors,AvgTimeOnSite,BounceRate
120,120,2023-09-27,35,29,00:03:15,24%
121,121,2023-09-28,26,22,00:02:40,35%
122,122,2023-09-29,19,16,00:01:50,43%
123,123,2023-09-30,33,28,00:03:05,26%
124,124,2023-10-01,23,20,00:02:20,38%
125,125,2023-10-02,29,24,00:02:55,31%
126,126,2023-10-03,21,18,00:02:05,40%
127,127,2023-10-04,37,31,00:03:25,22%
128,128,2023-10-05,27,23,00:02:45,34%
129,129,2023-10-06,25,21,00:02:30,36%
130,130,2023-10-07,30,25,00:02:55,29%
131,131,2023-10-08,22,19,00:02:15,39%
132,132,2023-10-09,35,29,00:03:15,24%
133,133,2023-10-10,26,22,00:02:40,35%
134,134,2023-10-11,19,16,00:01:50,43%
135,135,2023-10-12,33,28,00:03:05,26%
136,136,2023-10-13,23,20,00:02:20,38%
137,137,2023-10-14,29,24,00:02:55,31%
138,138,2023-10-15,21,18,00:02:05,40%
139,139,2023-10-16,37,31,00:03:25,22%
140,140,2023-10-17,27,23,00:02:45,34%
141,141,2023-10-18,25,21,00:02:30,36%
142,142,2023-10-19,30,25,00:02:55,29%
143,143,2023-10-20,22,19,00:02:15,39%
144,144,2023-10-21,35,29,00:03:15,24%
145,145,2023-10-22,26,22,00:02:40,35%
146,146,2023-10-23,19,16,00:01:50,43%
147,147,2023-10-24,33,28,00:03:05,26%
148,148,2023-10-25,23,20,00:02:20,38%
149,149,2023-10-26,29,24,00:02:55,31%
150,150,2023-10-27,21,18,00:02:05,40%
151,151,2023-10-28,37,31,00:03:25,22%
152,152,2023-10-29,27,23,00:02:45,34%
153,153,2023-10-30,25,21,00:02:30,36%
154,154,2023-10-31,30,25,00:02:55,29%
155,155,2023-11-01,22,19,00:02:15,39%
156,156,2023-11-02,35,29,00:03:15,24%
157,157,2023-11-03,26,22,00:02:40,35%
158,158,2023-11-04,19,16,00:01:50,43%
159,159,2023-11-05,33,28,00:03:05,26%
160,160,2023-11-06,23,20,00:02:20,38%
161,161,2023-11-07,29,24,00:02:55,31%
162,162,2023-11-08,21,18,00:02:05,40%
163,163,2023-11-09,37,31,00:03:25,22%
164,164,2023-11-10,27,23,00:02:45,34%
165,165,2023-11-11,25,21,00:02:30,36%
166,166,2023-11-12,30,25,00:02:55,29%
167,167,2023-11-13,22,19,00:02:15,39%
168,168,2023-11-14,35,29,00:03:15,24%
169,169,2023-11-15,26,22,00:02:40,35%
170,170,2023-11-16,19,16,00:01:50,43%
171,171,2023-11-17,33,28,00:03:05,26%
172,172,2023-11-18,23,20,00:02:20,38%
173,173,2023-11-19,29,24,00:02:55,31%
174,174,2023-11-20,21,18,00:02:05,40%
175,175,2023-11-21,37,31,00:03:25,22%
176,176,2023-11-22,27,23,00:02:45,34%
177,177,2023-11-23,25,21,00:02:30,36%
178,178,2023-11-24,30,25,00:02:55,29%
179,179,2023-11-25,22,19,00:02:15,39%
180,180,2023-11-26,35,29,00:03:15,24%
181,181,2023-11-27,26,22,00:02:40,35%
182,182,2023-11-28,19,16,00:01:50,43%
183,183,2023-11-29,33,28,00:03:05,26%
184,184,2023-11-30,23,20,00:02:20,38%
185,185,2023-12-01,29,24,00:02:55,31%
186,186,2023-12-02,21,18,00:02:05,40%
187,187,2023-12-03,37,31,00:03:25,22%
188,188,2023-12-04,27,23,00:02:45,34%
189,189,2023-12-05,25,21,00:02:30,36%
190,190,2023-12-06,30,25,00:02:55,29%
191,191,2023-12-07,22,19,00:02:15,39%
192,192,2023-12-08,35,29,00:03:15,24%
193,193,2023-12-09,26,22,00:02:40,35%
194,194,2023-12-10,19,16,00:01:50,43%
195,195,2023-12-11,33,28,00:03:05,26%
196,196,2023-12-12,23,20,00:02:20,38%
197,197,2023-12-13,29,24,00:02:55,31%
198,198,2023-12-14,21,18,00:02:05,40%
199,199,2023-12-15,37,31,00:03:25,22%
200,200,2023-12-16,27,23,00:02:45,34%
